ds,ticker,yhat,yhat_lower,yhat_upper,is_forecast
2025-04-17,INFY.NS,1446.7140572174094,1355.6743848403114,1534.704637319577,False
2025-04-21,INFY.NS,1431.9922879052274,1333.7313771700356,1516.597011778624,False
2025-04-22,INFY.NS,1431.0642885715345,1346.4434459980998,1529.0028684958154,False
2025-04-23,INFY.NS,1434.3889175925403,1346.1547544904531,1522.6208171343724,False
2025-04-24,INFY.NS,1434.8462274936342,1342.620712863896,1524.1582102260843,False
2025-04-25,INFY.NS,1432.7317186945388,1343.7449974428716,1523.2392284099633,False
2025-04-28,INFY.NS,1440.1459207049338,1347.3569558369963,1525.6081670247613,False
2025-04-29,INFY.NS,1444.317825432413,1358.3956526545458,1534.4648895634252,False
2025-04-30,INFY.NS,1452.5878972167782,1357.7639704522578,1543.4455700482306,False
2025-05-02,INFY.NS,1459.983982556145,1376.5564026618258,1548.1691058668864,False
2025-05-05,INFY.NS,1477.6474066960068,1395.9812975804728,1570.3316074486738,False
2025-05-06,INFY.NS,1484.08494591955,1398.1566790004433,1572.473704525231,False
2025-05-07,INFY.NS,1493.9716808694473,1407.2583295406002,1574.1958248406381,False
2025-05-08,INFY.NS,1500.0701637488305,1408.9651839798105,1581.5863573998424,False
2025-05-09,INFY.NS,1502.5781846816633,1405.5599727315625,1591.3729451963006,False
2025-05-12,INFY.NS,1517.1147271808968,1423.3443210745104,1609.3452925647796,False
2025-05-13,INFY.NS,1521.3259206739017,1428.6399022101134,1615.2700018642506,False
2025-05-14,INFY.NS,1528.4891293014177,1438.5674258968745,1621.2982917728925,False
2025-05-15,INFY.NS,1531.440554896017,1444.9847141125522,1621.1728988680566,False
2025-05-16,INFY.NS,1530.4602295008576,1442.289660812107,1621.9034698024147,False
2025-05-19,INFY.NS,1533.3892901741556,1442.3923820768566,1626.059011646606,False
2025-05-20,INFY.NS,1533.6634395637304,1443.6632287177395,1629.5933299650644,False
2025-05-21,INFY.NS,1537.0093099999451,1452.605181967074,1622.705359690999,False
2025-05-22,INFY.NS,1536.348693776203,1446.8927517843495,1624.8268267936148,False
2025-05-23,INFY.NS,1532.0397852247258,1441.9181896188356,1618.063032086125,False
2025-05-26,INFY.NS,1527.3163507563352,1438.6519696212206,1619.3623616876523,False
2025-05-27,INFY.NS,1525.9687550679498,1438.9569838648567,1623.3645144106554,False
2025-05-28,INFY.NS,1528.2000490949488,1435.3731632484503,1619.0620503352911,False
2025-05-29,INFY.NS,1526.9368460937023,1434.6911868198342,1614.316569157523,False
2025-05-30,INFY.NS,1522.528428223265,1432.5999515471963,1605.8790398881115,False
2025-06-02,INFY.NS,1520.244549208325,1436.3038126914685,1613.9377192039408,False
2025-06-03,INFY.NS,1520.4737200440402,1436.288336117976,1611.291842349869,False
2025-06-04,INFY.NS,1524.5666096496218,1438.7361056151703,1609.1244502178124,False
2025-06-05,INFY.NS,1525.3821154914654,1440.1784888854525,1609.6337071718071,False
2025-06-06,INFY.NS,1522.4007962250291,1432.6693538720965,1615.4952591267736,False
2025-06-09,INFY.NS,1524.5560862073535,1435.6665497793608,1616.2215738744112,False
2025-06-10,INFY.NS,1526.0912340930543,1433.975692131543,1613.5620865971728,False
2025-06-11,INFY.NS,1531.3033909231083,1440.1148106836042,1616.0716859040263,False
2025-06-12,INFY.NS,1533.0031652488087,1446.0708127002588,1619.8907290093505,False
2025-06-13,INFY.NS,1531.430043916654,1444.3808037808774,1616.7778263200569,False
2025-06-16,INFY.NS,1535.9446744690604,1450.0999587725005,1628.7526524313205,False
2025-06-17,INFY.NS,1537.6268520908886,1448.9048024140302,1622.175091077401,False
2025-06-18,INFY.NS,1542.6855131339623,1458.4718827227327,1627.0604361835108,False
2025-06-19,INFY.NS,1543.9583416632543,1455.1062774432082,1626.6041852441083,False
2025-06-20,INFY.NS,1541.720826754754,1448.539449360515,1626.3921633728385,False
2025-06-23,INFY.NS,1543.2799992887628,1447.9737907504439,1630.3797711197717,False
2025-06-24,INFY.NS,1543.8321138413817,1455.1625547631193,1635.117936374566,False
2025-06-25,INFY.NS,1547.7802128641124,1451.9893033816327,1636.4052449048927,False
2025-06-26,INFY.NS,1548.0153317127667,1452.7721271222167,1638.841416220775,False
2025-06-27,INFY.NS,1544.8623236783064,1460.3310617858588,1632.2006695516575,False
2025-06-30,INFY.NS,1544.722723400421,1452.4534263903156,1628.237433002733,False
2025-07-01,INFY.NS,1545.1748699154118,1460.8438233599018,1633.7010700386425,False
2025-07-02,INFY.NS,1549.275768028076,1461.2103492786712,1636.5414315823034,False
2025-07-03,INFY.NS,1549.9117129801837,1457.7897047013219,1640.1042065919294,False
2025-07-04,INFY.NS,1547.3915432070721,1453.8792996424834,1638.901539308809,False
2025-07-07,INFY.NS,1550.3046467273239,1463.4167970277858,1638.2914497393926,False
2025-07-08,INFY.NS,1551.9779268039144,1467.1351831473698,1635.83848857778,False
2025-07-09,INFY.NS,1557.3061038738742,1472.369310505697,1644.9819704612382,False
2025-07-10,INFY.NS,1559.1104330231435,1472.6222140495843,1651.9575258358677,False
2025-07-11,INFY.NS,1557.6324158293849,1468.78102529337,1647.3761356496236,False
2025-07-14,INFY.NS,1562.2531857928636,1475.599069689911,1649.4638815965109,False
2025-07-15,INFY.NS,1563.8219303839862,1475.1536318369567,1654.3402855668246,False
2025-07-16,INFY.NS,1568.6256045569323,1481.6374773868545,1662.766361128325,False
2025-07-17,INFY.NS,1569.4500758207273,1477.2177992399597,1666.528490602849,False
2025-07-18,INFY.NS,1566.5133783258063,1477.7614298159306,1652.1969454237033,False
2025-07-21,INFY.NS,1563.852357858249,1471.554808202492,1652.5569261286214,False
2025-07-22,INFY.NS,1562.0857520417496,1473.1310765665821,1649.3051438476696,False
2025-07-23,INFY.NS,1563.166160146709,1470.7206108323487,1648.754501278997,False
2025-07-24,INFY.NS,1559.9395712118296,1471.6953764299114,1654.4660589155098,False
2025-07-25,INFY.NS,1552.6962763929778,1459.3737451090137,1646.8345210539676,False
2025-07-28,INFY.NS,1536.451263733563,1446.0804180004973,1630.1883394292395,False
2025-07-29,INFY.NS,1530.2589800460537,1443.5331409257637,1624.445354160478,False
2025-07-30,INFY.NS,1527.1352417880435,1441.9116526417934,1610.1101705275528,False
2025-07-31,INFY.NS,1520.027819989248,1424.402310663123,1611.5516278198124,False
2025-08-01,INFY.NS,1509.3246717499087,1419.9647535597624,1598.1272980689678,False
2025-08-04,INFY.NS,1486.0853895126293,1394.039007316804,1569.4767761017752,False
2025-08-05,INFY.NS,1478.9205778094718,1388.4992273962873,1565.3840643817318,False
2025-08-06,INFY.NS,1475.5837281732502,1389.9170159459304,1565.1541286086551,False
